column,nan_count,non_nan_count,nan_percentage,non_nan_percentage,binned_nan_percentage,binned_non_nan_percentage
incident_month,0,1233,0.0,100.0,0%,100%
incident_year,0,1233,0.0,100.0,0%,100%
injury_severity,0,1233,0.0,100.0,0%,100%
latitude,0,1233,0.0,100.0,0%,100%
longitude,0,1233,0.0,100.0,0%,100%
month_year,0,1233,0.0,100.0,0%,100%
shark_behaviour_generic,0,1233,0.0,100.0,0%,100%
shark_behaviour_specific,0,1233,0.0,100.0,0%,100%
site_category,0,1233,0.0,100.0,0%,100%
site_category_cleaned,0,1233,0.0,100.0,0%,100%
state,0,1233,0.0,100.0,0%,100%
state_names,0,1233,0.0,100.0,0%,100%
uin,0,1233,0.0,100.0,0%,100%
victim_injury,0,1233,0.0,100.0,0%,100%
location,3,1230,0.24330900243309003,99.7566909975669,(0-10%),(90-100%)
provoked_unprovoked,7,1226,0.5677210056772101,99.43227899432279,(0-10%),(90-100%)
victim_gender,29,1204,2.3519870235198703,97.64801297648013,(0-10%),(90-100%)
victim_activity,33,1200,2.67639902676399,97.32360097323601,(0-10%),(90-100%)
shark_common_name,57,1176,4.622871046228711,95.37712895377129,(0-10%),(90-100%)
shark_scientific_name,66,1167,5.35279805352798,94.64720194647202,(0-10%),(90-100%)
no_sharks,93,1140,7.542579075425791,92.45742092457421,(0-10%),(90-100%)
reference,132,1101,10.70559610705596,89.29440389294405,(10-20%),(80-90%)
injury_location,145,1088,11.759935117599351,88.24006488240065,(10-20%),(80-90%)
data_source,176,1057,14.274128142741283,85.72587185725871,(10-20%),(80-90%)
shark_identification_method,229,1004,18.572587185725872,81.42741281427413,(10-20%),(80-90%)
shark_behaviour,250,983,20.275750202757504,79.72424979724249,(20-30%),(70-80%)
victim_age,510,723,41.3625304136253,58.6374695863747,(40-50%),(50-60%)
victim_aware_of_shark,618,615,50.121654501216554,49.878345498783446,(50-60%),(40-50%)
present_at_time_of_bite,637,596,51.662611516626114,48.337388483373886,(50-60%),(40-50%)
shark_length_m,643,590,52.14922952149229,47.85077047850771,(50-60%),(40-50%)
time_of_incident,711,522,57.66423357664233,42.33576642335767,(50-60%),(40-50%)
depth_of_incident_m,713,520,57.8264395782644,42.1735604217356,(50-60%),(40-50%)
basis_for_length,751,482,60.908353609083534,39.091646390916466,(60-70%),(30-40%)
provocative_act,830,403,67.31549067315491,32.68450932684509,(60-70%),(30-40%)
distance_to_shore_m,873,360,70.8029197080292,29.197080291970806,(70-80%),(20-30%)
victim_clothing,916,317,74.29034874290349,25.70965125709651,(70-80%),(20-30%)
diversionary_action_taken,924,309,74.93917274939173,25.06082725060827,(70-80%),(20-30%)
direction_first_strike,929,304,75.34468775344688,24.655312246553123,(70-80%),(20-30%)
object_of_bite,936,297,75.91240875912408,24.087591240875923,(70-80%),(20-30%)
clothing_coverage,973,260,78.9132197891322,21.0867802108678,(70-80%),(20-30%)
time_in_water_min,1003,230,81.34630981346311,18.653690186536892,(80-90%),(10-20%)
total_water_depth_m,1005,228,81.50851581508516,18.49148418491484,(80-90%),(10-20%)
dominant_clothing_colour,1074,159,87.10462287104623,12.895377128953768,(80-90%),(10-20%)
shark_identification_source,1085,148,87.99675587996757,12.003244120032434,(80-90%),(10-20%)
commercial_dive_activity,1096,137,88.88888888888889,11.111111111111114,(80-90%),(10-20%)
people_3m,1136,97,92.13300892133009,7.866991078669912,(90-100%),(0-10%)
water_temperature_c,1142,91,92.61962692619628,7.3803730738037245,(90-100%),(0-10%)
people_3_15m,1150,83,93.26845093268452,6.731549067315484,(90-100%),(0-10%)
wind_condition,1154,79,93.59286293592864,6.407137064071364,(90-100%),(0-10%)
shark_captured,1155,78,93.67396593673966,6.326034063260337,(90-100%),(0-10%)
water_visability_m,1163,70,94.3227899432279,5.677210056772097,(90-100%),(0-10%)
diversionary_action_outcome,1175,58,95.29602595296026,4.703974047039736,(90-100%),(0-10%)
teeth_recovered,1177,56,95.45823195458232,4.541768045417683,(90-100%),(0-10%)
weather_condition,1177,56,95.45823195458232,4.541768045417683,(90-100%),(0-10%)
personal_protective_device,1180,53,95.70154095701541,4.2984590429845895,(90-100%),(0-10%)
site_category_comment,1185,48,96.10705596107056,3.8929440389294427,(90-100%),(0-10%)
air_temperature_c,1193,40,96.7558799675588,3.2441200324412023,(90-100%),(0-10%)
tidal_cycle,1200,33,97.32360097323601,2.6763990267639883,(90-100%),(0-10%)
fin_colour,1203,30,97.5669099756691,2.4330900243308946,(90-100%),(0-10%)
other_clothing_colour,1214,19,98.45904298459043,1.5409570154095746,(90-100%),(0-10%)
clothing_pattern,1220,13,98.94566098945661,1.0543390105433872,(90-100%),(0-10%)
deterrent_brand_and_type,1227,6,99.51338199513383,0.48661800486617324,(90-100%),(0-10%)
fish_speared_,1229,4,99.67558799675588,0.32441200324412023,(90-100%),(0-10%)
unnamed_59,1232,1,99.91889699918897,0.0811030008110265,(90-100%),(0-10%)
spring_or_neap_tide,1233,0,100.0,0.0,100%,0%
